Start Date,End Date,Intensity Joy,Intensity Trust,Intensity Fear,Intensity Surprise,Intensity Sadness,Intensity Disgust,Intensity Anger,Intensity Anticipation,Valence Joy,Valence Trust,Valence Fear,Valence Surprise,Valence Sadness,Valence Disgust,Valence Anger,Valence Anticipation,Arousal Joy,Arousal Trust,Arousal Fear,Arousal Surprise,Arousal Sadness,Arousal Disgust,Arousal Anger,Arousal Anticipation,Dominance Joy,Dominance Trust,Dominance Fear,Dominance Surprise,Dominance Sadness,Dominance Disgust,Dominance Anger,Dominance Anticipation
31/01/2019,07/02/2019,0.5,0.0,0.0,0.5,0.25,0.0,0.0,0.75,3.92,0.0,0.0,3.92,1.41,0.0,0.0,6.574999999999999,3.34,0.0,0.0,3.34,2.91,0.0,0.0,5.66,2.945,0.0,0.0,2.945,1.43,0.0,0.0,5.26
08/02/2019,15/02/2019,0.8333333333333333,0.5416666666666666,0.16666666666666666,0.20833333333333331,0.08333333333333333,0.0,0.08333333333333333,0.7499999999999999,8.036249999999999,6.088749999999999,2.8800000000000003,3.9725,2.0325,0.0,0.8675,7.855,6.036250000000001,4.265000000000001,3.76,3.675,1.33,0.0,1.755,5.9525,6.535,4.995,2.5175,3.1075,1.5975,0.0,0.8825,6.48875
16/02/2019,23/02/2019,0.5,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,5.483333333333334,2.5533333333333332,1.2533333333333332,0.0,0.0,0.0,1.2533333333333332,2.5766666666666667,4.153333333333333,1.9666666666666668,2.3833333333333333,0.0,0.0,0.0,2.3833333333333333,2.0066666666666664,4.623333333333334,2.2333333333333334,1.7566666666666666,0.0,0.0,0.0,1.7566666666666666,2.2533333333333334
24/02/2019,03/03/2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/03/2019,11/03/2019,0.2,0.4,0.4,0.1,0.2,0.0,0.3,0.2,1.658,3.052,1.201,0.462,0.449,0.0,1.188,1.658,1.222,2.508,2.7310000000000003,1.3900000000000001,1.301,0.0,2.6420000000000003,1.222,1.378,3.152,1.6669999999999998,0.688,0.613,0.0,1.5919999999999999,1.378
12/03/2019,19/03/2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/03/2019,27/03/2019,0.125,0.0,0.5,0.0,0.25,0.0,0.25,0.5,1.9325,0.0,1.3425,0.0,0.545,0.0,0.545,2.9574999999999996,1.505,0.0,3.0149999999999997,0.0,1.515,0.0,1.515,2.4924999999999997,1.69,0.0,1.4825,0.0,0.6725,0.0,0.6725,2.58125
28/03/2019,04/04/2019,1.0,1.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.5,7.776666666666666,7.776666666666666,0.0,2.4899999999999998,0.0,0.0,0.0,5.166666666666667,5.658333333333334,5.658333333333334,0.0,1.8099999999999998,0.0,0.0,0.0,3.6633333333333327,6.591666666666666,6.591666666666666,0.0,2.1366666666666667,0.0,0.0,0.0,4.383333333333334
05/04/2019,12/04/2019,0.8333333333333333,0.8333333333333333,0.0,0.5,0.0,0.0,0.0,0.8333333333333333,7.595,7.566666666666666,0.0,7.365,0.0,0.0,0.0,7.595,5.5675,5.604166666666666,0.0,5.4325,0.0,0.0,0.0,5.5675,6.3225,6.589166666666666,0.0,6.1875,0.0,0.0,0.0,6.3225
13/04/2019,20/04/2019,0.25,0.0,0.25,0.0,0.5833333333333333,0.0,0.25,0.16666666666666666,4.36,0.0,1.09,0.0,2.2175000000000002,0.0,1.09,2.655,3.22,0.0,3.03,0.0,5.68,0.0,3.03,2.32,3.555,0.0,1.345,0.0,2.9349999999999996,0.0,1.345,2.315
