Start Date,End Date,Intensity Joy,Intensity Trust,Intensity Fear,Intensity Surprise,Intensity Sadness,Intensity Disgust,Intensity Anger,Intensity Anticipation,Valence Joy,Valence Trust,Valence Fear,Valence Surprise,Valence Sadness,Valence Disgust,Valence Anger,Valence Anticipation,Arousal Joy,Arousal Trust,Arousal Fear,Arousal Surprise,Arousal Sadness,Arousal Disgust,Arousal Anger,Arousal Anticipation,Dominance Joy,Dominance Trust,Dominance Fear,Dominance Surprise,Dominance Sadness,Dominance Disgust,Dominance Anger,Dominance Anticipation
12/02/2019,19/02/2019,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,0.852047556,0.0,0.598414795,0.717305152,0.717305152,0.0,0.0,0.6578599735,0.564013841,0.0,0.295847751,0.42733564,0.42733564,0.0,0.0,0.36159169550000003,0.701426025,0.0,0.55258467,0.540106952,0.540106952,0.0,0.0,0.546345811
20/02/2019,27/02/2019,0.5,0.5,0.5,0.25,0.0,0.0,0.0,1.0,0.8665785994999999,0.8665785994999999,0.7549537645,0.821664465,0.0,0.0,0.0,0.7169749007499999,0.5709342559999999,0.5709342559999999,0.455882353,0.525951557,0.0,0.0,0.0,0.45674740475,0.6907308375,0.6907308375,0.5980392155,0.737967914,0.0,0.0,0.0,0.58868092675
28/02/2019,15/03/2019,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84676354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.607266436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.789661319,0.0,0.0,0.0,0.0,0.0,0.0
16/03/2019,31/03/2019,0.5,0.5,0.125,0.25,0.5,0.0,0.0,0.375,0.412648613,0.412648613,0.2278731835,0.19154557475,0.1875825625,0.0,0.0,0.41941875824999997,0.2813581315,0.2813581315,0.15397923875,0.13192041525,0.1998269895,0.0,0.0,0.285899654,0.324866310125,0.324866310125,0.16087344025,0.1448306595,0.1541889485,0.0,0.0,0.30570409975
01/04/2019,16/04/2019,0.5,0.375,0.25,0.125,0.0,0.0,0.0,1.0,0.43543593137500003,0.4154557465,0.14960369875,0.19154557475,0.0,0.0,0.0,0.719121532375,0.269031142,0.269031142,0.07396193775,0.13192041525,0.0,0.0,0.0,0.44031141874999996,0.35004456325,0.3440285205,0.1381461675,0.1448306595,0.0,0.0,0.0,0.59336007125
17/04/2019,10/05/2019,0.5,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.793923382,0.793923382,0.0,0.793923382,0.0,0.0,0.0,0.6651254955,0.5268166089999999,0.5268166089999999,0.0,0.5268166089999999,0.0,0.0,0.0,0.45804498250000003,0.6586452759999999,0.6586452759999999,0.0,0.6586452759999999,0.0,0.0,0.0,0.5396613189999999
11/05/2019,18/05/2019,0.75,0.5833333333333333,0.0,0.25,0.0,0.0,0.0,0.5,0.8610744164999999,0.8394980185,0.0,0.4108322325,0.0,0.0,0.0,0.3394980185,0.5729527105000001,0.552768166,0.0,0.2629757785,0.0,0.0,0.0,0.22880622825,0.7783719546666668,0.767379679,0.0,0.368983957,0.0,0.0,0.0,0.289661319
19/05/2019,03/06/2019,0.6944444444444443,0.4444444444444444,0.05555555555555555,0.16666666666666666,0.0,0.0,0.08333333333333333,0.4444444444444444,0.7502201673333334,0.55295024225,0.09973579916666668,0.278511669,0.0,0.0,0.03610744166666666,0.5573535888333333,0.49884659766666667,0.39129181100000004,0.0493079585,0.1955017301666667,0.0,0.0,0.08708189150000001,0.35380622850000004,0.6050207960833333,0.4399881163333333,0.092097445,0.20736779549999998,0.0,0.0,0.0549613785,0.4243909683333333
04/06/2019,11/06/2019,0.27777777777777773,0.16666666666666666,0.4444444444444444,0.16666666666666666,0.0,0.0,0.16666666666666666,0.8333333333333334,0.587406429,0.273888155,0.3989431966666667,0.273888155,0.0,0.0,0.13474240433333332,0.703948334,0.45386389833333335,0.17531718566666665,0.197231834,0.17531718566666665,0.0,0.0,0.14475201833333332,0.4429065743333333,0.515151515,0.24598930466666666,0.36838978,0.24598930466666666,0.0,0.0,0.191919192,0.6280451572222222
12/06/2019,19/06/2019,0.4,0.5,0.2,0.3,0.1,0.2,0.3,0.5,0.3014531044,0.37318361959999996,0.119682959,0.1548216644,0.005680317,0.0726552179,0.1130779392,0.3367239101,0.1688581314,0.21920415220000003,0.0591695502,0.15432525949999998,0.0839100346,0.1017301038,0.1451557093,0.17179930799999998,0.2704099821,0.3477718359,0.110516934,0.1711229946,0.0472370766,0.0973262032,0.15490196080000002,0.3012477718
20/06/2019,05/07/2019,0.875,0.25,0.125,0.0,0.125,0.125,0.125,0.375,0.95244385725,0.22391017175,0.06538969625,0.0,0.06538969625,0.06538969625,0.06538969625,0.45904887725,0.69636678225,0.13711072675,0.1730103805,0.0,0.1730103805,0.1730103805,0.1730103805,0.34602076125000003,0.83244206775,0.199197861,0.132798574,0.0,0.132798574,0.132798574,0.132798574,0.40106951874999996
06/07/2019,13/07/2019,1.0,1.0,0.0,0.5,0.0,0.0,0.0,1.0,0.830911493,0.830911493,0.0,0.3830911495,0.0,0.0,0.0,0.830911493,0.538062284,0.538062284,0.0,0.2638408305,0.0,0.0,0.0,0.538062284,0.688057041,0.688057041,0.0,0.289661319,0.0,0.0,0.0,0.688057041
