Description,Word No.,Valence Mean,Valence SD,Arousal Mean,Arousal SD,Dominance Mean,Dominance SD,Word Frequency
kick,834,0.404227213,2.18,0.434256055,2.35,0.575757576,1.93,16
inferior,812,0.240422721,1.57,0.249134948,2.05,0.090909091,2.08,7
kids,835,0.747688243,1.99,0.498269896,2.36,0.499108734,2.03,32
inhabitant,813,0.501981506,1.34,0.269896194,1.97,0.55258467,1.43,.
killer,244,0.084544254,1.39,0.946366782,1.89,0.404634581,3.11,21
injury,595,0.163804491,1.76,0.570934256,2.06,0.231729055,1.62,27
kind,245,0.837516513,1.67,0.358131488,2.55,0.65597148,1.93,313
ink,229,0.501981506,0.81,0.250865052,1.88,0.417112299,2.13,7
kindness,246,0.867899604,1.39,0.330449827,2.62,0.606060606,2.63,5
innocent,814,0.694848085,1.34,0.314878893,1.99,0.536541889,2.08,37
king,247,0.793923382,1.67,0.539792388,2.77,0.91087344,2.1,88
insane,815,0.211360634,1.94,0.595155709,2.45,0.329768271,2.23,13
kiss,248,0.926023778,1.54,0.852941176,2.03,0.830659537,2.28,17
insect,816,0.372523118,2.16,0.290657439,2.46,0.408199643,2.47,14
kitten,517,0.741083223,2.13,0.465397924,2.45,0.818181818,2.01,5
insecure,230,0.14663144,1.33,0.548442907,2.34,0.010695187,1.95,3
knife,596,0.313077939,2.18,0.589965398,2,0.329768271,2.18,76
insolent,231,0.409511229,1.76,0.517301038,2.37,0.397504456,2.06,2
knot,836,0.447820343,1.36,0.290657439,2.15,0.427807487,1.65,8
inspire,232,0.755614267,1.91,0.451557093,2.53,0.725490196,2.11,3
knowledge,249,0.836195509,1.32,0.610726644,2.32,0.803921569,2.41,145
inspired,233,0.779392338,1.85,0.628027682,2.67,0.784313725,2.31,25
lake,250,0.735799207,1.54,0.269896194,2.44,0.468805704,2.1,54
insult,817,0.137384412,1.33,0.624567474,2.46,0.240641711,2.05,7
lamb,837,0.612945839,1.73,0.167820069,2.18,0.470588235,1.96,7
intellect,818,0.735799207,1.96,0.408304498,2.5,0.718360071,1.98,5
lamp,838,0.549537649,1,0.243944637,2.12,0.534759358,1.61,18
intercourse,819,0.807133421,1.57,0.797577855,2.07,0.736185383,1.78,9
lantern,839,0.570673712,1.19,0.287197232,2.28,0.499108734,1.82,13
interest,234,0.755614267,1.53,0.565743945,2.26,0.643493761,1.78,330
laughter,251,0.951122853,1.08,0.75432526,2.5,0.745098039,2.45,22
intimate,821,0.84015852,1.51,0.794117647,2.21,0.639928699,2.29,21
lavish,840,0.655217966,2.03,0.439446367,2.4,0.600713012,1.61,3
intruder,822,0.200792602,2.32,0.773356401,2.41,0.308377897,2.68,1
lawn,841,0.527080581,0.86,0.278546713,1.79,0.55258467,1.11,15
invader,823,0.237780713,2.01,0.538062284,2.4,0.308377897,2.6,1
lawsuit,842,0.28005284,2,0.439446367,2.44,0.294117647,2.02,1
invest,824,0.618229855,2.1,0.472318339,2.42,0.643493761,1.95,3
lazy,843,0.41347424,2.02,0.044982699,2.06,0.320855615,1.93,9
iron,565,0.482166446,1.02,0.237024221,2.06,0.504456328,1.27,43
leader,844,0.842800528,1.59,0.671280277,2.18,1,1.6,74
irritate,235,0.245706737,1.67,0.583044983,2.15,0.49197861,2.05,.
learn,252,0.779392338,1.49,0.519031142,2.22,0.725490196,2.17,84
item,825,0.529722589,0.86,0.147058824,2.08,0.532976827,1.67,54
legend,845,0.678996037,1.34,0.430795848,1.76,0.582887701,1.64,26
jail,236,0.092470277,1.27,0.53633218,2.67,0.274509804,2.71,21
leisurely,253,0.743725231,1.81,0.243944637,2.38,0.513368984,1.9,5
jealousy,237,0.166446499,1.83,0.686851211,2.66,0.272727273,2.41,4
leprosy,254,0.110964333,1.4,0.674740484,2.23,0.308377897,2.3,1
jelly,238,0.582562748,1.44,0.226643599,2.29,0.40285205,1.77,3
lesbian,597,0.451783355,2.45,0.472318339,2.27,0.549019608,2.2,.
jewel,239,0.759577279,1.72,0.517301038,2.54,0.591800357,2.19,1
letter,846,0.708058124,1.59,0.434256055,2.37,0.616755793,1.48,145
joke,826,0.904887715,1.36,0.752595156,1.84,0.691622103,1.86,22
liberty,255,0.889035667,1.22,0.555363322,2.65,0.71657754,2.44,46
jolly,827,0.813738441,1.92,0.55017301,2.8,0.734402852,1.72,4
lice,256,0.14002642,1.78,0.451557093,2.26,0.299465241,2.29,2
journal,828,0.513870542,1.49,0.287197232,1.96,0.532976827,1.42,42
lie,257,0.20343461,1.92,0.617647059,2.63,0.183600713,2.42,59
joy,240,0.970937913,0.71,0.835640138,2.13,0.714795009,2.15,40
life,258,0.795244386,1.88,0.628027682,2.62,0.614973262,2.51,715
joyful,241,0.920739762,1.22,0.621107266,2.54,0.771836007,1.8,1
lightbulb,566,0.575957728,1.28,0.295847751,2.02,0.632798574,1.56,.
jug,829,0.527080581,1.65,0.257785467,2.15,0.495543672,1.62,6
lighthouse,847,0.612945839,2.08,0.349480969,2.44,0.531194296,2.02,.
justice,242,0.862615588,1.35,0.532871972,2.54,0.748663102,2.26,114
lightning,598,0.438573316,2.66,0.730103806,1.77,0.249554367,2.19,14
kerchief,830,0.50990753,1.33,0.179930796,2.08,0.531194296,1.28,1
limber,848,0.585204756,1.49,0.37716263,2.26,0.547237077,1.84,2
kerosene,243,0.468956407,1.59,0.337370242,2.51,0.420677362,1.99,6
lion,518,0.570673712,1.99,0.65916955,2.16,0.329768271,2.33,17
ketchup,831,0.574636724,1.35,0.294117647,2.08,0.538324421,1.81,1
listless,259,0.379128137,1.73,0.295847751,2.31,0.333333333,1.73,1
lively,849,0.785997358,1.97,0.543252595,2.9,0.680926916,1.95,26
memories,871,0.822985469,1.61,0.641868512,2.1,0.643493761,1.92,15
locker,850,0.520475561,1.31,0.171280277,2.13,0.550802139,1.87,9
memory,274,0.709379128,1.5,0.524221453,2.25,0.506238859,2.12,76
loneliness,260,0.047556143,1.02,0.375432526,2.97,0.042780749,2.27,9
menace,275,0.215323646,1.64,0.541522491,2.45,0.483065954,2.25,9
lonely,261,0.121532365,1.76,0.366782007,2.68,0.121212121,2.12,25
merry,872,0.878467635,1.49,0.607266436,2.42,0.778966132,1.66,8
loser,851,0.132100396,1.48,0.442906574,2.57,0.13368984,2.17,1
messy,873,0.250990753,1.73,0.164359862,2.37,0.442067736,2.15,3
lost,852,0.207397622,1.83,0.593425606,2.62,0.10516934,1.64,173
metal,874,0.488771466,1.17,0.242214533,1.96,0.554367201,1.4,61
lottery,853,0.702774108,2.04,0.51384083,2.45,0.452762923,2.11,1
method,875,0.569352708,1.76,0.252595156,2.58,0.606060606,1.58,142
louse,262,0.206076618,1.92,0.448096886,2.03,0.231729055,2.26,3
mighty,276,0.698811096,2.19,0.557093426,2.38,0.884135472,2.11,29
love,263,0.98678996,0.7,0.700692042,3.35,0.862745098,2.56,232
mildew,277,0.253632761,1.36,0.292387543,1.79,0.379679144,1.79,1
loved,264,0.976221929,0.71,0.690311419,2.68,0.77540107,2.53,56
milk,876,0.620871863,2.16,0.223183391,2.57,0.634581105,1.5,49
loyal,265,0.832232497,1.9,0.479238754,2.42,0.827094474,2.23,18
millionaire,278,0.895640687,1.42,0.648788927,2.7,0.837789661,2.4,2
lucky,266,0.914134742,1.06,0.716262976,2.34,0.673796791,2.25,21
mind,877,0.717305152,1.84,0.451557093,2.68,0.73083779,2.19,325
lump,854,0.384412153,2.34,0.416955017,2.82,0.365418895,2.18,7
miracle,279,0.970937913,0.71,0.910034602,1.67,0.549019608,2.58,16
luscious,267,0.825627477,1.08,0.510380623,2.51,0.607843137,1.84,2
mischief,878,0.570673712,2.05,0.583044983,1.95,0.586452763,1.88,5
lust,519,0.775429326,1.62,0.776816609,1.85,0.573975045,2.27,5
misery,879,0.089828269,1.6,0.480968858,2.69,0.049910873,1.45,15
luxury,268,0.875825627,1.49,0.408304498,2.91,0.736185383,2.45,21
mistake,880,0.212681638,1.79,0.482698962,2.42,0.28342246,2.42,34
machine,855,0.507265522,1.67,0.247404844,2.4,0.527629234,2.06,103
mobility,881,0.737120211,1.79,0.451557093,2.18,0.741532977,1.48,8
mad,856,0.157199472,1.72,0.756055363,2.26,0.639928699,2.2,39
modest,280,0.595772787,1.28,0.275086505,2.24,0.479500891,2.16,29
madman,857,0.351387054,2.49,0.548442907,2.78,0.449197861,2.55,2
mold,882,0.303830911,1.7,0.290657439,1.98,0.367201426,1.83,45
