Description,Word No.,Valence Mean,Valence SD,Arousal Mean,Arousal SD,Dominance Mean,Dominance SD,Word Frequency
profit,331,0.842800528,1.3,0.742214533,1.78,0.638146168,2.47,28
reserved,353,0.479524439,1.83,0.152249135,2.05,0.361853832,1.93,27
progress,947,0.856010568,1.34,0.628027682,2.58,0.800356506,2.05,120
respect,354,0.844121532,1.29,0.484429066,2.39,0.823529412,2.11,125
promotion,332,0.918097754,1.15,0.700692042,2.58,0.8057041,2.28,26
respectful,355,0.788639366,1.27,0.382352941,2.67,0.606060606,2.38,4
protected,333,0.797886394,1.79,0.294117647,2.77,0.629233512,2.54,31
restaurant,960,0.727873184,1.85,0.522491349,2.55,0.616755793,1.41,41
proud,334,0.895640687,1.56,0.548442907,3.01,0.796791444,2.73,50
reunion,961,0.690885073,2.45,0.683391003,2.35,0.600713012,1.95,11
pungent,948,0.35667107,2.09,0.320069204,2.17,0.44741533,1.52,4
reverent,356,0.541611625,1.21,0.278546713,1.6,0.427807487,1.68,3
punishment,335,0.128137384,1.41,0.612456747,2.4,0.219251337,2.43,21
revolt,357,0.380449141,1.78,0.721453287,2.34,0.696969697,2.11,8
puppy,336,0.833553501,1.9,0.598615917,2.78,0.577540107,2.39,2
revolver,962,0.365918098,2.44,0.546712803,2.39,0.377896613,2.47,14
pus,602,0.212681638,1.91,0.420415225,2.06,0.370766488,1.82,.
reward,358,0.829590489,1.67,0.442906574,2.62,0.664884135,2.14,15
putrid,337,0.149273448,1.71,0.579584775,2.26,0.467023173,2.09,.
riches,359,0.852047556,1.95,0.653979239,2.7,0.796791444,2.43,2
python,949,0.36988111,2.48,0.655709343,2.25,0.401069519,2.56,14
ridicule,360,0.248348745,2.24,0.595155709,2.73,0.285204991,2.7,5
rifle,603,0.365918098,2.76,0.685121107,2.04,0.336898396,2.71,63
seat,380,0.488771466,0.98,0.096885813,1.72,0.458110517,1.88,54
rigid,963,0.318361955,2.12,0.392733564,2.47,0.417112299,2.04,24
secure,381,0.834874505,1.76,0.129757785,2.47,0.652406417,2.57,30
riot,361,0.225891678,1.93,0.692041522,2.63,0.340463458,2.47,7
selfish,382,0.154557464,1.62,0.538062284,2.62,0.422459893,2.31,8
river,362,0.739762219,1.69,0.366782007,2.42,0.504456328,1.86,165
sentiment,977,0.624834875,1.71,0.349480969,2.3,0.502673797,1.46,23
roach,363,0.145310436,1.7,0.735294118,2.64,0.454545455,2.94,2
serious,383,0.505944518,1.59,0.278546713,1.87,0.50802139,1.65,116
robber,964,0.179656539,1.69,0.558823529,2.72,0.240641711,2.38,2
severe,978,0.257595773,1.74,0.496539792,2.36,0.278074866,1.91,39
rock,965,0.569352708,1.38,0.368512111,2.37,0.513368984,2.01,75
sex,384,0.898282695,1.53,0.859861592,1.91,0.620320856,2.25,84
rollercoaster,528,0.894319683,1.63,0.980968858,1.71,0.504456328,2.76,.
sexy,530,0.894319683,1.12,0.859861592,1.91,0.811051693,2.13,2
romantic,364,0.933949802,1,0.899653979,2.07,0.679144385,2.29,32
shadow,385,0.409511229,1.23,0.330449827,2.26,0.342245989,1.82,36
rotten,365,0.1334214,1.37,0.370242215,2.38,0.365418895,2.09,2
shamed,386,0.165125495,1.34,0.430795848,2.27,0.126559715,1.94,1
rough,966,0.461030383,2,0.508650519,2.04,0.452762923,1.7,41
shark,606,0.317040951,2.47,0.825259516,1.96,0.064171123,2.16,.
rude,366,0.165125495,2.11,0.678200692,2.47,0.470588235,2.49,6
sheltered,387,0.594451783,1.92,0.326989619,1.77,0.265597148,1.91,4
runner,571,0.583883752,1.91,0.410034602,2.4,0.570409982,1.84,1
ship,388,0.568031704,1.4,0.344290657,2.29,0.50802139,2.31,83
rusty,367,0.344782034,1.47,0.238754325,2.16,0.40285205,1.62,8
shotgun,979,0.412153236,2.75,0.671280277,1.94,0.538324421,2.67,8
sad,368,0.047556143,0.95,0.301038062,2.38,0.210338681,2.18,35
shriek,980,0.354029062,2.22,0.51384083,2.91,0.361853832,1.86,5
safe,967,0.768824306,1.9,0.25432526,2.72,0.631016043,2.06,58
shy,389,0.447820343,1.83,0.238754325,2.29,0.20855615,1.96,13
sailboat,529,0.792602378,1.71,0.430795848,2.73,0.639928699,1.71,1
sick,607,0.085865258,1.14,0.328719723,2.45,0.137254902,1.65,51
saint,968,0.692206077,1.7,0.363321799,1.9,0.55258467,2.11,16
sickness,390,0.132100396,1.71,0.557093426,2.67,0.279857398,2.5,6
salad,369,0.593130779,1.62,0.24567474,2.29,0.570409982,1.68,9
silk,391,0.746367239,1.27,0.228373702,2.51,0.452762923,1.93,12
salute,370,0.616908851,1.57,0.505190311,2.23,0.568627451,2.05,3
silly,981,0.813738441,1.8,0.603806228,2.38,0.664884135,2.09,15
sapphire,371,0.759577279,1.88,0.451557093,2.72,0.584670232,2.24,.
sin,392,0.204755614,1.67,0.58650519,2.21,0.240641711,2.29,53
satisfied,372,0.883751651,1.19,0.441176471,2.63,0.689839572,2.37,36
sinful,393,0.221928666,2.15,0.674740484,2.43,0.351158645,2.73,3
save,969,0.686922061,1.93,0.442906574,2.19,0.664884135,1.79,62
sissy,394,0.249669749,1.96,0.480968858,2.57,0.233511586,2.74,.
savior,373,0.856010568,1.56,0.589965398,3.01,0.778966132,2.18,6
skeptical,395,0.431968296,1.63,0.435986159,1.92,0.397504456,1.61,7
scalding,970,0.207397622,2.12,0.615916955,2.55,0.276292335,2.3,1
skijump,531,0.767503303,1.73,0.807958478,2.1,0.468805704,2.32,.
scandal,971,0.27344782,1.81,0.472318339,2.22,0.368983957,1.73,8
skull,608,0.398943197,1.83,0.408304498,1.85,0.461675579,1.62,3
scapegoat,972,0.319682959,1.65,0.370242215,2.13,0.222816399,1.7,1
sky,572,0.808454425,1.4,0.325259516,2.17,0.515151515,2,58
scar,973,0.281373844,1.7,0.415224913,2.11,0.286987522,1.71,10
skyscraper,573,0.611624835,1.87,0.574394464,2.17,0.367201426,2.36,2
scared,604,0.202113606,1.99,0.766435986,2.03,0.11942959,2.19,21
slap,396,0.224570674,1.79,0.704152249,2.58,0.345811052,2.29,2
scholar,374,0.793923382,1.42,0.472318339,2.46,0.770053476,2.02,15
slaughter,397,0.051519155,1.18,0.757785467,2.42,0.276292335,2.75,10
scissors,974,0.501981506,0.96,0.359861592,1.76,0.515151515,1.84,1
slave,398,0.077939234,1.13,0.660899654,2.93,0.181818182,2.76,30
scorching,975,0.331571995,1.83,0.451557093,2.74,0.326203209,2.01,.
sleep,399,0.785997358,1.77,0.070934256,2.66,0.559714795,2.41,65
scorn,375,0.21003963,2.07,0.534602076,2.52,0.295900178,2.64,4
slime,400,0.188903567,1.66,0.51384083,2.63,0.338680927,1.82,1
scornful,376,0.233817701,2.03,0.458477509,2.56,0.413547237,2.18,5
slow,982,0.354029062,1.6,0.173010381,2.22,0.370766488,1.61,60
scorpion,976,0.322324967,2.63,0.517301038,3.08,0.304812834,2.44,.
slum,401,0.150594452,1.25,0.41349481,2.52,0.278074866,2.18,8
scream,605,0.347424042,2.07,0.80449827,1.96,0.442067736,2.21,13
slush,983,0.450462351,1.88,0.23183391,2.23,0.470588235,1.48,.
scum,377,0.155878468,1.56,0.430795848,2.36,0.354723708,1.99,.
smallpox,402,0.167767503,2.08,0.551903114,2.13,0.360071301,2.17,2
scurvy,378,0.256274769,2,0.401384083,2.72,0.393939394,2.48,1
smooth,984,0.704095112,1.78,0.435986159,2.57,0.502673797,2.09,42
seasick,379,0.105680317,1.2,0.589965398,2.88,0.203208556,2.39,.
snake,609,0.272126816,2.2,0.766435986,2.1,0.26916221,2.05,44
snob,403,0.278731836,1.81,0.564013841,2.36,0.506238859,2.25,1
sun,532,0.832232497,1.85,0.458477509,2.66,0.693404635,2.09,112
snow,575,0.77014531,1.83,0.581314879,2.47,0.629233512,1.97,59
sunlight,1003,0.85997358,1.43,0.641868512,2.3,0.598930481,2.15,17
snuggle,404,0.881109643,1.24,0.306228374,2.8,0.604278075,2.47,4
sunrise,420,0.87318362,1.35,0.461937716,3.05,0.538324421,2.41,10
social,985,0.743725231,1.82,0.448096886,2.59,0.648841355,2.07,380
sunset,421,0.849405548,1.72,0.313148789,2.99,0.604278075,2.08,14
soft,986,0.775429326,1.34,0.387543253,2.61,0.664884135,1.8,61
surgery,612,0.212681638,2.19,0.685121107,2.32,0.085561497,1.86,6
solemn,405,0.405548217,1.51,0.202422145,1.95,0.417112299,1.87,12
surprised,422,0.821664465,1.56,0.878892734,2.09,0.684491979,2.19,58
song,987,0.772787318,1.97,0.636678201,2.42,0.638146168,2.12,70
suspicious,423,0.331571995,1.42,0.667820069,1.59,0.392156863,1.99,13
soothe,988,0.799207398,1.85,0.347750865,3.08,0.550802139,2.24,2
swamp,1004,0.513870542,2.24,0.42733564,2.36,0.538324421,1.63,5
sour,989,0.354029062,1.98,0.468858131,1.95,0.422459893,1.5,3
sweetheart,424,0.947159841,0.83,0.538062284,2.73,0.670231729,2.24,9
space,574,0.730515192,1.66,0.475778547,2.54,0.52228164,2.44,184
swift,1005,0.688243065,1.76,0.519031142,2.53,0.71657754,1.85,32
spanking,990,0.303830911,2.54,0.522491349,2.73,0.292335116,2.51,.
swimmer,576,0.698811096,1.64,0.420415225,2.49,0.657754011,1.91,.
sphere,991,0.538969617,0.87,0.257785467,1.99,0.486631016,0.92,22
syphilis,425,0.05680317,1.23,0.570934256,3.25,0.188948307,2.67,.
spider,610,0.274768824,1.72,0.574394464,2.21,0.442067736,2.11,2
table,426,0.524438573,0.72,0.091695502,2.16,0.392156863,1.66,198
spirit,406,0.759577279,1.32,0.548442907,2.62,0.632798574,2.42,182
talent,427,0.833553501,1.25,0.671280277,1.8,0.752228164,1.75,40
spouse,407,0.836195509,1.48,0.487889273,2.75,0.581105169,1.97,3
tamper,1006,0.376486129,1.88,0.442906574,2.01,0.411764706,2.1,1
spray,992,0.554821664,1.63,0.302768166,2.28,0.50802139,1.43,16
tank,613,0.51651255,1.87,0.430795848,1.86,0.44741533,1.93,12
spring,993,0.85997358,1.51,0.567474048,2.51,0.711229947,1.98,127
taste,1007,0.714663144,1.57,0.489619377,2.38,0.575757576,1.65,59
square,408,0.461030383,1.02,0.136678201,1.76,0.399286988,1.45,143
taxi,1008,0.495376486,1.96,0.176470588,2.14,0.422459893,1.83,16
stagnant,994,0.383091149,1.57,0.266435986,1.94,0.434937611,1.36,5
teacher,1009,0.585204756,2.12,0.287197232,2.61,0.506238859,2.2,80
star,409,0.795244386,1.66,0.595155709,2.44,0.429590018,2.15,25
tease,1010,0.474240423,2.51,0.602076125,2.56,0.427807487,2.37,6
startled,410,0.429326288,1.67,0.785467128,2.24,0.393939394,1.57,21
tender,1011,0.750330251,1.28,0.430795848,2.3,0.545454545,1.75,11
starving,611,0.150594452,1.82,0.557093426,2.53,0.242424242,2.1,6
tennis,540,0.63011889,1.97,0.384083045,2.6,0.595365419,2.12,15
statue,995,0.517833554,0.7,0.185121107,1.72,0.47771836,1.4,17
tense,428,0.305151915,1.36,0.716262976,2.1,0.525846702,2.02,15
stench,996,0.124174373,1.37,0.34083045,2.46,0.360071301,1.91,1
termite,429,0.307793923,2.08,0.519031142,2.43,0.285204991,1.87,.
stiff,997,0.453104359,1.97,0.28200692,2.41,0.474153298,2.04,21
terrible,430,0.089828269,1.44,0.671280277,2.44,0.233511586,2.34,45
stink,411,0.231175694,1.79,0.323529412,2.1,0.336898396,1.98,3
terrific,431,0.912813738,1.12,0.664359862,2.73,0.771836007,2.15,5
stomach,998,0.471598415,2.06,0.266435986,2.49,0.429590018,1.85,37
terrified,432,0.062087186,1.14,0.946366782,2.27,0.144385027,2.75,7
stool,999,0.437252312,1.72,0.278546713,2.14,0.483065954,1.85,8
terrorist,614,0.058124174,1.42,0.844290657,2.38,0.067736185,2.3,.
storm,1000,0.488771466,2.22,0.574394464,2.34,0.404634581,2.04,26
thankful,433,0.745046235,2.29,0.337370242,2.31,0.543672014,2,6
stove,1001,0.492734478,1.69,0.366782007,2.14,0.550802139,1.87,15
theory,434,0.535006605,1.49,0.385813149,1.94,0.465240642,1.81,129
street,412,0.524438573,0.72,0.173010381,1.87,0.452762923,1.21,244
thermometer,1012,0.459709379,1.05,0.242214533,2.02,0.377896613,1.51,.
stress,413,0.110964333,1.41,0.875432526,2.38,0.295900178,2.75,107
thief,435,0.116248349,1.69,0.778546713,2.13,0.270944742,2.55,8
strong,414,0.774108322,1.48,0.610726644,2.28,0.828877005,2.43,202
thorn,436,0.315719947,1.76,0.475778547,2.14,0.3885918,1.5,3
stupid,415,0.14002642,1.37,0.403114187,2.71,0.126559715,2.18,24
thought,1013,0.678996037,1.58,0.422145329,2.46,0.668449198,1.7,515
subdued,416,0.451783355,1.31,0.088235294,1.81,0.322638146,1.56,8
thoughtful,437,0.845442536,1.03,0.576124567,2.3,0.595365419,2.11,11
success,417,0.92998679,0.93,0.643598616,2.65,0.823529412,2.4,93
thrill,438,0.898282695,1.48,0.974048443,1.65,0.76114082,2.3,5
suffocate,418,0.040951123,0.96,0.629757785,3.19,0.20855615,2.81,1
tidy,1014,0.667107001,1.56,0.275086505,2.22,0.573975045,1.93,1
sugar,1002,0.725231176,1.73,0.562283737,2.18,0.575757576,1.5,34
time,439,0.536327609,2.02,0.389273356,2.75,0.420677362,2.24,1599
suicide,419,0,0.69,0.577854671,3.14,0.233511586,3.02,17
timid,440,0.344782034,1.55,0.297577855,2.09,0.146167558,1.91,5
tobacco,441,0.268163804,2.16,0.422145329,2.9,0.322638146,2.27,19
useful,466,0.778071334,1.6,0.323529412,2.47,0.652406417,2.1,58
tomb,442,0.22324967,1.88,0.404844291,2.72,0.258467023,2.05,11
useless,467,0.116248349,1.42,0.429065744,2.58,0.294117647,2.62,17
tool,1015,0.520475561,1.27,0.335640138,1.78,0.606060606,1.62,40
utensil,1024,0.513870542,1.39,0.204152249,1.98,0.557932264,1.47,.
toothache,443,0.096433289,1.15,0.546712803,2.51,0.290552585,1.85,.
vacation,468,0.912813738,1.36,0.562283737,2.99,0.807486631,2.08,47
tornado,444,0.171730515,1.78,0.76816609,2.49,0.361853832,2.42,1
vagina,1025,0.645970938,1.77,0.546712803,2.55,0.643493761,1.74,10
torture,445,0.040951123,0.79,0.641868512,2.77,0.188948307,2.37,3
valentine,469,0.906208719,1.35,0.634948097,2.91,0.631016043,2.45,2
tower,1016,0.556142668,1.75,0.269896194,2.28,0.625668449,2.14,13
vampire,470,0.397622193,1.86,0.688581315,2.35,0.495543672,2.27,1
toxic,446,0.112285337,1.48,0.693771626,2.41,0.383244207,2.51,3
vandal,471,0.192866579,1.91,0.693771626,1.88,0.292335116,2.49,1
toy,1017,0.759577279,2.01,0.470588235,2.84,0.680926916,1.84,4
vanity,472,0.402906209,1.91,0.448096886,2.31,0.450980392,2.03,7
tragedy,447,0.07001321,1.31,0.666089965,2.64,0.219251337,2.34,49
vehicle,473,0.663143989,2.34,0.387543253,2.81,0.623885918,2.61,35
traitor,448,0.128137384,1.69,0.58650519,2.47,0.417112299,2.71,2
venom,474,0.188903567,1.81,0.638408304,2.44,0.297682709,2.23,2
trash,615,0.187582563,1.45,0.306228374,2.16,0.529411765,1.85,2
vest,1026,0.528401585,1.33,0.269896194,2.09,0.502673797,1.24,4
trauma,616,0.112285337,1.49,0.6816609,2.45,0.101604278,1.87,1
victim,618,0.122853369,1.48,0.634948097,2.32,0.07486631,2.04,27
travel,1018,0.772787318,2,0.660899654,2.51,0.720142602,2.08,61
victory,475,0.933949802,1.16,0.733564014,2.84,0.889483066,2.14,61
treasure,449,0.927344782,0.9,0.75432526,2.3,0.729055258,2.42,4
vigorous,476,0.731836196,1.54,0.607266436,2.66,0.559714795,2.22,29
treat,1019,0.807133421,1.38,0.558823529,2.25,0.625668449,1.82,26
village,477,0.616908851,1.34,0.292387543,1.87,0.475935829,1.74,72
tree,450,0.669749009,1.56,0.178200692,2.21,0.500891266,2.29,59
violent,478,0.137384412,1.78,0.778546713,2.47,0.515151515,2.86,33
triumph,451,0.865257596,1.83,0.58650519,2.6,0.839572193,2.2,22
violin,579,0.552179657,1.98,0.190311419,2.26,0.518716578,2.01,11
triumphant,452,1,0.73,0.759515571,2.58,0.834224599,2.55,5
virgin,1027,0.686922061,1.76,0.539792388,2.06,0.707664884,2.48,35
trophy,453,0.862615588,1.22,0.519031142,2.44,0.743315508,2.32,8
virtue,479,0.65653897,2.06,0.368512111,2.52,0.688057041,2.09,30
trouble,454,0.235138705,2.09,0.771626298,2.03,0.459893048,2.39,134
vision,480,0.709379128,1.84,0.392733564,2.43,0.668449198,1.96,56
troubled,455,0.121532365,1.21,0.614186851,2.36,0.292335116,2.33,31
volcano,619,0.474240423,2.14,0.6816609,2.21,0.174688057,1.97,2
truck,577,0.557463672,1.88,0.423875433,2.17,0.545454545,1.83,57
vomit,481,0.107001321,1.57,0.581314879,2.84,0.233511586,2.45,3
trumpet,456,0.594451783,1.38,0.446366782,2.13,0.409982175,1.72,7
voyage,1028,0.660501982,1.91,0.546712803,2.23,0.518716578,1.98,17
trunk,1020,0.507265522,1.57,0.309688581,2.19,0.511586453,1.9,8
wagon,1029,0.544253633,0.97,0.275086505,2.04,0.495543672,1.2,55
trust,457,0.717305152,2.71,0.503460208,2.66,0.773618538,2.04,52
war,482,0.109643329,1.91,0.882352941,2.16,0.397504456,3,464
truth,458,0.865257596,1.29,0.451557093,2.77,0.748663102,2.11,126
warmth,483,0.813738441,1.81,0.23183391,2.4,0.595365419,1.67,28
tumor,459,0.14663144,2.04,0.712802768,2.85,0.233511586,2.42,17
wasp,484,0.28005284,1.63,0.538062284,2.17,0.265597148,1.82,2
tune,1021,0.750330251,1.47,0.401384083,2.09,0.618538324,1.82,10
waste,485,0.221928666,1.76,0.302768166,2.3,0.436720143,1.94,35
twilight,1022,0.78996037,1.8,0.399653979,2.41,0.591800357,1.82,4
watch,580,0.598414795,1.51,0.295847751,2.12,0.55258467,1.75,81
ugly,460,0.155878468,1.27,0.517301038,2.23,0.354723708,2.33,21
water,486,0.708058124,1.78,0.446366782,2.49,0.500891266,1.99,442
ulcer,461,0.07001321,1.17,0.64532872,2.68,0.338680927,2.22,5
waterfall,487,0.875825627,1.03,0.515570934,2.84,0.52228164,2.18,2
umbrella,578,0.51651255,1.57,0.223183391,1.99,0.561497326,1.91,8
wealthy,488,0.852047556,1.34,0.589965398,2.73,0.802139037,2.57,12
unfaithful,462,0.105680317,1.55,0.65916955,2.7,0.13368984,2.54,1
weapon,489,0.359313078,1.92,0.629757785,1.89,0.520499109,2.61,42
unhappy,463,0.042272127,0.96,0.309688581,2.5,0.190730838,2.35,26
weary,490,0.335535007,2.12,0.24567474,2.29,0.308377897,1.91,17
unit,1023,0.57331572,1.87,0.235294118,2.49,0.506238859,1.74,103
wedding,491,0.867899604,1.56,0.619377163,2.85,0.786096257,2.08,32
untroubled,464,0.841479524,1.41,0.259515571,2.54,0.581105169,2.54,.
whistle,1030,0.602377807,1.21,0.397923875,1.99,0.534759358,1.87,4
upset,465,0.099075297,1.18,0.600346021,2.4,0.322638146,2.31,14
white,542,0.689564069,1.59,0.342560554,2.14,0.661319073,1.73,365
urine,617,0.264200793,1.71,0.313148789,2.18,0.529411765,1.86,1
whore,492,0.138705416,2.11,0.598615917,2.93,0.417112299,2.73,2
wicked,493,0.225891678,2.37,0.640138408,2.44,0.37254902,2.65,9
world,500,0.693527081,2.03,0.506920415,2.39,0.532976827,2.47,787
wife,1031,0.671070013,1.97,0.439446367,2.22,0.588235294,1.68,228
wounds,620,0.166446499,1.58,0.593425606,2.01,0.294117647,1.57,8
win,494,0.941875826,0.92,0.922145329,2.16,0.912655971,2.36,55
writer,1036,0.564068692,1.9,0.335640138,2.45,0.438502674,1.84,73
windmill,1032,0.574636724,1.65,0.233564014,2.13,0.529411765,1.04,1
yacht,1037,0.752972259,1.79,0.557093426,2.72,0.682709447,2.13,4
window,495,0.615587847,1.38,0.273356401,2.01,0.470588235,1.6,119
yellow,545,0.575957728,1.94,0.352941176,2.05,0.570409982,1.58,55
wine,496,0.620871863,2.19,0.41349481,2.34,0.541889483,2.15,72
young,1038,0.745046235,2.12,0.562283737,2.51,0.540106952,2.49,385
wink,1033,0.750330251,1.83,0.527681661,2.68,0.6114082,1.77,7
youth,1039,0.72655218,2.29,0.567474048,2.52,0.506238859,2.55,82
wise,497,0.828269485,1.23,0.262975779,2.64,0.789661319,2.39,36
zest,1040,0.731836196,2.04,0.553633218,2.66,0.664884135,1.99,5
abduction,621,0.199471598,2.06,0.543252595,2.43,0.217468806,2.38,1
anguished,19,0.114927345,1.56,0.508650519,2.69,0.210338681,2.37,2
abortion,622,0.297225892,2.3,0.519031142,2.8,0.413547237,2.54,6
ankle,638,0.531043593,1.54,0.306228374,2.03,0.445632799,1.74,8
absurd,623,0.397622193,1.82,0.34083045,2.2,0.438502674,1.72,17
annoy,20,0.19682959,1.81,0.709342561,2.17,0.502673797,2.04,2
abundance,624,0.705416116,2.01,0.539792388,2.63,0.629233512,2.16,13
answer,639,0.710700132,1.68,0.522491349,2.43,0.638146168,1.88,152
abuse,1,0.072655218,1.23,0.76816609,2.7,0.25311943,2.94,18
anxious,21,0.470277411,1.98,0.783737024,1.81,0.545454545,1.82,29
acceptance,625,0.889035667,1.42,0.520761246,2.7,0.778966132,1.91,49
applause,640,0.825627477,1.5,0.589965398,2.79,0.750445633,2.11,14
accident,2,0.105680317,1.19,0.669550173,2.87,0.265597148,2.22,33
appliance,641,0.508586526,1.21,0.287197232,2.06,0.495543672,1.34,5
ace,626,0.743725231,1.93,0.538062284,2.66,0.734402852,2.31,15
arm,642,0.540290621,1.82,0.207612457,2.4,0.499108734,1.5,94
ache,627,0.15984148,1.52,0.451557093,2.45,0.226381462,1.73,4
army,23,0.458388375,1.75,0.456747405,2.03,0.49197861,2.45,132
achievement,3,0.877146631,1.38,0.543252595,2.81,0.764705882,2.35,65
aroused,24,0.887714663,1,0.733564014,2.7,0.689839572,1.97,20
activate,4,0.556142668,0.98,0.42733564,2.56,0.563279857,1.84,2
arrogant,25,0.322324967,2.4,0.564013841,2.23,0.511586453,2.71,2
addict,581,0.162483487,2.08,0.565743945,2.26,0.258467023,2.54,1
art,643,0.717305152,2.1,0.42733564,2.88,0.540106952,2.33,208
addicted,628,0.166446499,1.42,0.418685121,2.46,0.212121212,2.23,3
assassin,26,0.243064729,2.09,0.673010381,2.53,0.367201426,2.68,6
admired,5,0.857331572,1.84,0.643598616,2.36,0.937611408,1.94,17
assault,27,0.103038309,1.55,0.885813149,2.28,0.297682709,3.1,15
adorable,6,0.8665786,1.24,0.472318339,2.71,0.618538324,2.48,3
astonished,28,0.701453104,1.61,0.724913495,2.22,0.515151515,1.79,6
adult,546,0.692206077,1.5,0.410034602,1.95,0.620320856,2.21,25
astronaut,501,0.714663144,1.6,0.5,2.11,0.52228164,1.95,2
advantage,629,0.752972259,1.85,0.410034602,2.18,0.729055258,2.23,73
athletics,644,0.708058124,2.08,0.641868512,2.29,0.68627451,2.12,9
adventure,630,0.838837517,1.5,0.794117647,2.15,0.74688057,1.67,14
autumn,29,0.667107001,2.14,0.366782007,2.5,0.513368984,1.85,22
affection,7,0.94319683,0.86,0.660899654,2.75,0.679144385,2.22,18
avalanche,645,0.269484808,1.95,0.544982699,2.37,0.23885918,2,1
afraid,8,0.099075297,1.28,0.740484429,2.54,0.304812834,2.63,57
avenue,646,0.561426684,1.37,0.299307958,2.01,0.557932264,1.53,46
aggressive,9,0.508586526,1.68,0.595155709,2.33,0.591800357,2.4,17
awed,30,0.71994716,1.38,0.579584775,2.31,0.540106952,2.03,5
agility,22,0.688243065,1.57,0.425605536,1.8,0.64171123,1.52,3
baby,31,0.920739762,1.2,0.543252595,2.8,0.486631016,2.8,62
agony,10,0.155878468,2.17,0.634948097,2.67,0.311942959,2.49,9
bake,647,0.64993395,1.71,0.468858131,2.3,0.573975045,1.88,12
agreement,631,0.77014531,1.59,0.455017301,2.24,0.704099822,1.85,106
bandage,648,0.434610304,1.75,0.261245675,2.07,0.401069519,1.89,4
air,632,0.672391017,1.56,0.299307958,2.3,0.504456328,1.56,257
bankrupt,32,0.099075297,1.31,0.660899654,2.79,0.178253119,2.39,5
alcoholic,582,0.21003963,2.34,0.570934256,2.36,0.3885918,2.56,3
banner,649,0.548216645,0.83,0.249134948,1.95,0.450980392,1.57,8
alert,11,0.653896962,1.76,0.771626298,2.53,0.657754011,2.24,33
bar,650,0.682959049,2.05,0.451557093,2.83,0.570409982,1.94,82
alien,633,0.574636724,1.82,0.529411765,2.15,0.422459893,2.07,16
barrel,651,0.501981506,1.46,0.167820069,2.28,0.467023173,1.57,24
alimony,634,0.35667107,2,0.330449827,2.29,0.420677362,2.3,2
basket,547,0.554821664,1.15,0.214532872,2.02,0.622103387,1.45,17
alive,635,0.792602378,2.22,0.538062284,2.74,0.734402852,2.15,57
bastard,33,0.278731836,2.16,0.636678201,2.15,0.338680927,2.4,12
allergy,636,0.240422721,1.64,0.389273356,2.34,0.167557932,1.77,1
bath,502,0.80317041,1.45,0.306228374,2.31,0.737967914,1.87,26
alley,637,0.42668428,1.97,0.435986159,2.42,0.308377897,1.7,8
bathroom,548,0.568031704,1.36,0.257785467,1.72,0.602495544,1.59,18
alone,12,0.15323646,1.77,0.422145329,2.66,0.254901961,2.42,195
bathtub,652,0.718626156,1.57,0.34083045,2.59,0.622103387,1.76,4
aloof,13,0.482166446,1.92,0.326989619,2.1,0.431372549,1.92,5
beach,34,0.895640687,1.59,0.543252595,3.07,0.565062389,2.52,61
ambition,14,0.764861295,1.98,0.557093426,2.92,0.830659537,2.07,19
beast,653,0.393659181,2.41,0.55017301,2.61,0.467023173,2.29,7
ambulance,15,0.161162483,1.5,0.85467128,1.96,0.169340463,2.29,6
beautiful,654,0.838837517,1.64,0.653979239,2.34,0.71657754,1.81,127
angel,16,0.829590489,1.58,0.422145329,2.63,0.481283422,2.34,18
beauty,35,0.867899604,1.16,0.442906574,2.57,0.581105169,2.1,71
anger,17,0.143989432,1.32,0.906574394,1.91,0.575757576,2.82,48
bed,549,0.826948481,1.38,0.211072664,2.56,0.821746881,1.78,127
angry,18,0.211360634,1.7,0.826989619,2.07,0.584670232,2.74,45
bees,583,0.257595773,2.07,0.712802768,2.14,0.336898396,2.11,15
beggar,36,0.260237781,2.02,0.435986159,2.45,0.324420677,2.38,2
brutal,53,0.204755614,1.9,0.728373702,2.36,0.413547237,2.7,7
bench,655,0.443857332,1.4,0.207612457,2.07,0.429590018,1.38,35
building,550,0.533685601,1.15,0.264705882,1.94,0.531194296,1.57,160
bereavement,656,0.438573316,1.7,0.313148789,2.15,0.367201426,1.73,4
bullet,673,0.269484808,2.06,0.508650519,2.48,0.290552585,2.61,28
betray,37,0.05680317,1.02,0.839100346,2.06,0.472370766,2.97,4
bunny,54,0.791281374,1.32,0.288927336,2.61,0.481283422,2.18,1
beverage,657,0.737120211,1.48,0.487889273,2.46,0.598930481,2.17,5
burdened,55,0.165125495,1.32,0.560553633,2.07,0.49197861,2.35,4
bird,38,0.795244386,1.36,0.134948097,2.23,0.383244207,2.26,31
burial,56,0.105680317,1.41,0.465397924,2.4,0.228163993,1.95,11
birthday,39,0.870541612,1.92,0.742214533,2.11,0.645276292,2.61,18
burn,586,0.195508587,1.72,0.662629758,1.91,0.347593583,1.83,15
black,543,0.546895641,1.8,0.384083045,2.24,0.511586453,1.79,203
bus,541,0.430647292,1.57,0.200692042,1.8,0.458110517,1.75,34
blackmail,40,0.224570674,1.95,0.629757785,2.7,0.226381462,2.67,2
busybody,674,0.517833554,2.02,0.423875433,2.41,0.56684492,1.97,.
bland,658,0.376486129,1.08,0.155709343,1.89,0.465240642,1.27,3
butter,57,0.538969617,1.2,0.134948097,1.84,0.427807487,1.69,27
