Start Date,End Date,Intensity Joy,Intensity Trust,Intensity Fear,Intensity Surprise,Intensity Sadness,Intensity Disgust,Intensity Anger,Intensity Anticipation,Valence Joy,Valence Trust,Valence Fear,Valence Surprise,Valence Sadness,Valence Disgust,Valence Anger,Valence Anticipation,Arousal Joy,Arousal Trust,Arousal Fear,Arousal Surprise,Arousal Sadness,Arousal Disgust,Arousal Anger,Arousal Anticipation,Dominance Joy,Dominance Trust,Dominance Fear,Dominance Surprise,Dominance Sadness,Dominance Disgust,Dominance Anger,Dominance Anticipation
31/01/2019,07/02/2019,0.5,0.0,0.0,0.5,0.25,0.0,0.0,0.75,0.435270806,0.0,0.0,0.435270806,0.103698811,0.0,0.0,0.7034346105,0.3711072665,0.0,0.0,0.3711072665,0.296712803,0.0,0.0,0.5657439445,0.322638146,0.0,0.0,0.322638146,0.05258467,0.0,0.0,0.532976827
08/02/2019,15/02/2019,0.8333333333333333,0.5416666666666666,0.16666666666666666,0.20833333333333331,0.08333333333333333,0.0,0.08333333333333333,0.7499999999999999,0.8964663145,0.680482166375,0.29788639375000003,0.44220607675,0.22721268175,0.0,0.07331572,0.872523117625,0.6308391005,0.42776816625,0.44377162625,0.42906574399999997,0.12673010375,0.0,0.2002595155,0.61634948125,0.7602495543750001,0.58689839575,0.2464349375,0.35160427800000005,0.183600713,0.0,0.0561497325,0.752005347625
16/02/2019,23/02/2019,0.5,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.6142668426666666,0.28225451333333335,0.11052399833333333,0.0,0.0,0.0,0.11052399833333333,0.28533685599999997,0.44290657466666666,0.20242214533333333,0.27450980399999997,0.0,0.0,0.0,0.27450980399999997,0.20934256066666668,0.5543672013333333,0.2632204396666667,0.17825311933333332,0.0,0.0,0.0,0.17825311933333332,0.266785502
24/02/2019,11/03/2019,0.2,0.4,0.4,0.1,0.2,0.0,0.3,0.2,0.185997358,0.3371202112,0.0926023779,0.028005284000000002,0.0262879789,0.0,0.0908850728,0.185997358,0.1287197232,0.26851211080000004,0.30709342570000003,0.1577854672,0.1423875433,0.0,0.2916955018,0.1287197232,0.1647058824,0.4,0.13529411759999999,0.04171123,0.028342245999999998,0.0,0.12192513359999999,0.1647058824
12/03/2019,27/03/2019,0.125,0.0,0.5,0.0,0.25,0.0,0.25,0.5,0.214002642,0.0,0.0947820345,0.0,0.03071334225,0.0,0.03071334225,0.308124174375,0.1570069205,0.0,0.31487889275000003,0.0,0.15873702425,0.0,0.15873702425,0.22448096875,0.2000891265,0.0,0.061942959000000006,0.0,0.0187165775,0.0,0.0187165775,0.257798574
28/03/2019,04/04/2019,1.0,1.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.5,0.8621752531666668,0.8621752531666668,0.0,0.273888155,0.0,0.0,0.0,0.5724350506666667,0.5654555941666667,0.5654555941666667,0.0,0.17531718566666665,0.0,0.0,0.0,0.358131488,0.7703505645000001,0.7703505645000001,0.0,0.24598930466666666,0.0,0.0,0.0,0.5115864526666667
05/04/2019,12/04/2019,0.8333333333333333,0.8333333333333333,0.0,0.5,0.0,0.0,0.0,0.8333333333333333,0.8381770146666667,0.83443417,0.0,0.8077939235,0.0,0.0,0.0,0.8381770146666667,0.5497404845,0.5560841985,0.0,0.526384083,0.0,0.0,0.0,0.5497404845,0.7223707663333333,0.7699049315,0.0,0.6983065949999999,0.0,0.0,0.0,0.7223707663333333
13/04/2019,20/04/2019,0.25,0.0,0.25,0.0,0.5833333333333333,0.0,0.25,0.16666666666666666,0.49339498,0.0,0.0614266845,0.0,0.1278071335,0.0,0.0614266845,0.2681638045,0.350346021,0.0,0.3174740485,0.0,0.5692041525,0.0,0.3174740485,0.194636678,0.431372549,0.0,0.037433155,0.0,0.11853832425,0.0,0.037433155,0.210338681
21/04/2019,28/04/2019,0.47222222222222227,0.611111111111111,0.3055555555555555,0.08333333333333333,0.0,0.0,0.3055555555555555,0.25,0.6955085866666667,0.6734918538333333,0.1657859975,0.12769704983333333,0.0,0.0,0.1657859975,0.27697049766666665,0.42964244533333334,0.42488465983333334,0.411764706,0.0879469435,0.0,0.0,0.411764706,0.17935409466666666,0.5932857991666666,0.5907605465833333,0.267379679,0.096553773,0.0,0.0,0.267379679,0.22935234699999998
29/04/2019,06/05/2019,1.0,0.5,0.375,0.625,0.0,0.0,0.125,0.875,0.85419418775,0.4154557465,0.40620871875,0.5977542935,0.0,0.0,0.181638045,0.82166446525,0.671064014,0.269031142,0.38538062275,0.517301038,0.0,0.0,0.141868512,0.6544117647500001,0.705436720125,0.3440285205,0.31684491975,0.46167557925,0.0,0.0,0.12655971475,0.66087344025
07/05/2019,14/05/2019,0.5,0.75,0.0,0.0,0.25,0.0,0.0,0.25,0.4824966975,0.892998679,0.0,0.0,0.471598415,0.0,0.0,0.471598415,0.33693771650000004,0.6591695505,0.0,0.0,0.323529412,0.0,0.0,0.323529412,0.3703208555,0.809269162,0.0,0.0,0.309269162,0.0,0.0,0.309269162
